"word","meaningZh","example","lastAnswer","missedAt"
"infirmary","医务室；校医院","He went to the infirmary because he had a high fever.","infarmary","2026-06-25 17:08:20"
"vacancy","空缺职位","There is a vacancy for a part-time assistant.","vecancy","2026-06-25 17:07:47"
"statistic","统计数据","This statistic shows a rise in online shopping.","statisitic","2026-06-25 17:07:31"
"city council","市政委员会","The city council plans to improve public transport.","city councile","2026-06-25 17:07:00"
"internship","实习","The internship gave him useful work experience.","intership","2026-06-25 17:06:37"
"circumstance","情况；环境","The decision depends on each student’s personal circumstance.","circustance","2026-06-25 17:06:24"
"November","十一月","The weather becomes much colder in November.","novemebr","2026-06-25 17:05:22"
"linguistics","语言学","Linguistics is the scientific study of language.","linguisitics","2026-06-25 17:04:57"
"deposit","押金；定金","We paid a small deposit to reserve the room.","显示答案","2026-06-25 17:04:14"
"architect","建筑师","The architect designed a modern library.","architor","2026-06-25 17:00:30"
"surgery","诊所；手术","The doctor’s surgery is closed on Sunday.","surgery","2026-06-25 16:59:35"
"cafeteria","自助餐厅；食堂","Students usually have lunch in the cafeteria.","cafertaria","2026-06-25 16:58:41"
"loyalty","忠诚；忠实","Customer loyalty is important for every business.","loaylty","2026-06-25 16:57:54"
"pedestrian","行人","The new crossing makes the road safer for pedestrians.","perdestrians","2026-06-25 16:57:22"
"archaeology","考古学","Archaeology helps us understand ancient societies.","archaelogy","2026-06-25 16:56:28"
"January","一月","The application form must be submitted by January.","gen","2026-06-25 16:55:42"
"appendix","附录","The raw data is included in the appendix.","appdenix","2026-06-25 16:55:23"
"laboratory","实验室","Students must wear safety glasses in the laboratory.","e","2026-06-25 16:54:49"
"August","八月","Many families go on holiday in August.","auguest","2026-06-25 16:54:18"
"catalogue","目录","You can search the online catalogue for available books.","catagolue","2026-06-25 16:53:54"
"tractor","拖拉机","The farmer used a tractor to plough the field.","track","2026-06-25 16:53:19"
"automobile","汽车","The automobile industry is investing in electric cars.","oe","2026-06-25 16:52:33"
"challenge","挑战","Learning a new language is a real challenge for many students.","chanllenge","2026-06-25 16:51:40"
"museum","博物馆","The museum displays ancient coins and pottery.","musuem","2026-06-25 16:51:14"
"litre","升","The bottle contains one litre of water.","liter","2026-06-25 16:50:01"
"restaurant","餐馆","The restaurant is popular with local families.","restaruant","2026-06-25 16:49:42"
"emergency","紧急情况","Call this number in an emergency.","enmergency","2026-06-25 16:48:01"
"clerks","职员；店员","The clerks helped customers find the right forms.","clerk","2026-06-25 16:47:24"
"thermometer","温度计","The nurse used a thermometer to check my temperature.","themometer","2026-06-25 16:46:55"
"attendance","出勤；到场","Attendance is required for all laboratory sessions.","attandence","2026-06-25 16:46:20"
